,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,leeHom,100000000,120,0,0.01,2,0.6309573444801932,8,9,17,0.5294117647058824,0.21928229792190412,0.8235617905336868,2.762064119389491,0.8430381084627985,6.589964263486485
1,leeHom,100000000,120,0,0.01,3,0.5011872336272722,1394465,1375684,2770149,0.49661011014208983,0.4958361416820558,0.4973840902473994,3.039844431901815,3.033081105583799,3.046618205270091
2,leeHom,100000000,120,0,0.01,4,0.3981071705534972,753107,545497,1298604,0.4200641612069576,0.4189484245056132,0.42118048377579764,3.766843697688466,3.755317609073649,3.7783943844490104
3,leeHom,100000000,120,0,0.01,5,0.31622776601683794,594726,262515,857241,0.3062324363860338,0.3049506062908762,0.307516418166379,5.139488103804396,5.12131692478107,5.1577049885810755
4,leeHom,100000000,120,0,0.01,6,0.251188643150958,273361,85788,359149,0.23886464949087982,0.23703404738805023,0.24070217586702902,6.218481184252068,6.18519983830608,6.2518926778426245
5,leeHom,100000000,120,0,0.01,7,0.19952623149688797,90865,22953,113818,0.20166406016623029,0.19860869120886981,0.2047444140828245,6.953714932708564,6.88787937997815,7.020017504959038
6,leeHom,100000000,120,0,0.01,8,0.15848931924611134,210838,41819,252657,0.16551688652995958,0.16361672066532262,0.1674296646730915,7.811576916002697,7.761675925646197,7.861723160582191
7,leeHom,100000000,120,0,0.01,9,0.12589254117941673,110449,17401,127850,0.13610481032459915,0.1336442731913292,0.13859248373547017,8.661265253439698,8.582603221103852,8.740496465198035
8,leeHom,100000000,120,0,0.01,10,0.1,687475,78271,765746,0.10221535600577737,0.10132547657484725,0.10311018231613578,9.904838544205063,9.866984452367818,9.942813449182246
9,leeHom,100000000,120,0,0.01,11,0.07943282347242814,434791,34349,469140,0.07321695016413012,0.07224058977077996,0.07420197791158367,11.353883655183372,11.29584518108604,11.412187171083133
10,leeHom,100000000,120,0,0.01,12,0.06309573444801933,332307,20756,353063,0.05878837487927084,0.057773191497829446,0.05981546950505878,12.307085450961736,12.231864840406484,12.382736405664001
11,leeHom,100000000,120,0,0.01,13,0.05011872336272722,652518,32789,685307,0.04784571002485018,0.047183996478413315,0.04851370980281566,13.201569961537711,13.141355139682737,13.262052772059285
12,leeHom,100000000,120,0,0.01,14,0.039810717055349734,353065,13953,367018,0.03801720896522787,0.03720873375245892,0.03883768672353527,14.200197700453671,14.107466457342381,14.293551091689235
13,leeHom,100000000,120,0,0.01,15,0.03162277660168379,452294,14250,466544,0.030543742926712164,0.029898533962724683,0.03119854641826647,15.150777442012002,15.058656398671912,15.243501062410678
14,leeHom,100000000,120,0,0.01,16,0.025118864315095794,202651,4989,207640,0.024027162396455404,0.02317004054047689,0.024906175344077464,16.192975162676298,16.036929587136573,16.35073206326986
15,leeHom,100000000,120,0,0.01,17,0.0199526231496888,392065,7733,399798,0.019342267845261857,0.018785679964205992,0.01991032835087081,17.13492607039926,17.009215777528283,17.261730806454153
16,leeHom,100000000,120,0,0.01,18,0.015848931924611134,688725,10717,699442,0.015322213993440486,0.014946485749774974,0.01570455170042273,18.146784765008874,18.039744563881428,18.254609075998
17,leeHom,100000000,120,0,0.01,19,0.012589254117941675,1156202,14312,1170514,0.012227107065784774,0.011967013696885798,0.012491173740052264,19.126762849085132,19.03396750987136,19.220142118970028
18,leeHom,100000000,120,0,0.01,20,0.01,1504522,14884,1519406,0.009795933410819755,0.009591329897836731,0.010003612977566356,20.089541757126792,19.998431187166908,20.181211710098914
19,leeHom,100000000,120,0,0.01,21,0.007943282347242814,1452066,11533,1463599,0.007879890598449438,0.007692893040706195,0.008070094938638528,21.03479812056072,20.931213560977184,21.139103057988326
20,leeHom,100000000,120,0,0.01,22,0.00630957344480193,8899697,55479,8955176,0.006195188123605834,0.006127855111584313,0.006263046314623599,22.079455012647628,22.03214376721,22.126915118126774
21,leeHom,100000000,120,0,0.01,23,0.005011872336272725,8386081,41603,8427684,0.004936468904149705,0.004874502457947183,0.004998994921967093,23.065835943531212,23.011173044082,23.12069706282438
22,leeHom,100000000,120,0,0.01,24,0.003981071705534973,6316841,24716,6341557,0.0038974655593255725,0.0038340261768631256,0.00396165044430552,24.09217713845585,24.021238470222332,24.163449262966626
23,leeHom,100000000,120,0,0.01,25,0.0031622776601683794,2726753,8428,2735181,0.003081331729051935,0.002995690932130479,0.0031687059384403193,25.11261544025985,24.991180622418078,25.23502995176228
24,leeHom,100000000,120,0,0.01,26,0.0025118864315095794,7618,19,7637,0.002487887914102396,0.0012635507405249768,0.004367100488835374,26.0416918964977,23.59806814663367,28.984073133898573
25,leeHom,100000000,120,0,0.01,27,0.001995262314968879,9933,15,9948,0.0015078407720144752,0.0006931869420875314,0.002829254570306028,28.216445175422173,25.483279738915044,31.59149626905529
26,leeHom,100000000,120,0,0.01,28,0.001584893192461114,10457,18,10475,0.0017183770883054893,0.0008541102578508708,0.0030614914763850143,27.648815265350272,25.14066945362368,30.684860622321093
27,leeHom,100000000,120,0,0.01,29,0.0012589254117941675,4594,8,4602,0.001738374619730552,0.0005589615072445486,0.004032351433393866,27.59856627340681,23.944416246447247,32.526180986733
28,leeHom,100000000,120,0,0.01,30,0.001,14312,14,14326,0.000977244171436549,0.0004350230792207199,0.0018723969955918296,30.09996911144365,27.27602064403673,33.614877018676125
29,leeHom,100000000,120,0,0.01,31,0.0007943282347242813,485554,337,485891,0.000693571191892832,0.0006001479660502351,0.0007969119164366045,31.589089539715893,30.985896790048805,32.217416614217846
30,leeHom,100000000,120,0,0.01,32,0.000630957344480193,1302981,730,1303711,0.0005599400480627992,0.000508012019809434,0.0006155485898081681,32.51858469760436,32.10737659300232,32.941260119775876
31,leeHom,100000000,120,0,0.01,33,0.0005011872336272725,4100721,1836,4102557,0.0004475257747789976,0.0004210863683957733,0.0004751308328866388,33.49181946891229,33.231867857920356,33.75628817535609
32,leeHom,100000000,120,0,0.01,34,0.00039810717055349735,5037913,1777,5039690,0.0003526010528425359,0.0003314318109371994,0.00037471946971745496,34.52716395261255,34.26293741197148,34.796058101850306
33,leeHom,100000000,120,0,0.01,35,0.00031622776601683794,445291,136,445427,0.00030532500275017005,0.00024211196378831623,0.0003794509788732636,35.15237630317057,34.20844322482538,36.159837496789905
34,leeHom,100000000,120,0,0.01,36,0.00025118864315095795,6742371,1912,6744283,0.00028349937272798307,0.0002670797841302086,0.00030062817343046166,35.47447897691981,35.21970321846121,35.73358983461084
35,leeHom,100000000,120,0,0.01,37,0.00019952623149688788,4407246,928,4408174,0.0002105180058681894,0.0001931453954159279,0.0002289786890866674,36.767107524897554,36.40204935313998,37.14115640971352
36,leeHom,100000000,120,0,0.01,38,0.00015848931924611142,531577,91,531668,0.00017115944536816207,0.00012847913875091432,0.00022302813730468163,37.66599129490845,36.51640342757693,38.911673833121185
37,leeHom,100000000,120,0,0.01,39,0.00012589254117941674,24621,3,24624,0.00012183235867446393,1.3721360961338469e-05,0.0004457317837093244,39.14237347767741,33.50926396657775,48.62602810736688
38,leeHom,100000000,120,0,0.01,40,0.0001,590753,44,590797,7.447566592247422e-05,4.8733315729299065e-05,0.00010857938998676264,41.27985604861318,39.64252602596779,43.12174038978867
39,leeHom,100000000,120,0,0.01,41,7.943282347242822e-05,161863,16,161879,9.883925648169312e-05,4.6745963261263235e-05,0.00018211587205363422,40.0507053023791,37.39652202228584,43.30255886589364
40,leeHom,100000000,120,0,0.01,42,6.309573444801929e-05,790980,49,791029,6.194463161274744e-05,4.152452042438526e-05,8.85982823219944e-05,42.07996325478148,40.525746978117155,43.81695374607955
41,leeHom,100000000,120,0,0.01,43,5.011872336272725e-05,1249274,82,1249356,6.563381454125165e-05,4.846812998759997e-05,8.671582109431863e-05,41.82872354449841,40.61901659304389,43.145437360381905
42,leeHom,100000000,120,0,0.01,44,3.9810717055349695e-05,3597177,160,3597337,4.447734532516692e-05,3.5942597931937215e-05,5.436179288476062e-05,43.51861141952908,42.64706228409041,44.4439053527579
43,leeHom,100000000,120,0,0.01,45,3.1622776601683795e-05,3914532,144,3914676,3.678465344258375e-05,2.9368835625653844e-05,4.5442107661441966e-05,44.34333331199096,43.42541533711953,45.32113271433534
44,leeHom,100000000,120,0,0.01,46,2.5118864315095822e-05,5444972,146,5445118,2.6813009378309157e-05,2.1442227775891887e-05,3.307633463645043e-05,45.71654439913157,44.80482622921214,46.68730094888108
45,leeHom,100000000,120,0,0.01,47,1.9952623149688786e-05,4739512,122,4739634,2.5740384173123917e-05,2.0134091924250974e-05,3.2374062893136824e-05,45.893849755737165,44.898027939139304,46.96067952904336
46,leeHom,100000000,120,0,0.01,48,1.584893192461114e-05,6574563,113,6574676,1.7187158728430115e-05,1.3308276564316657e-05,2.1807337457047105e-05,47.64795912175835,46.61397355893087,48.75878182471943
47,leeHom,100000000,120,0,0.01,49,1.2589254117941661e-05,6383586,90,6383676,1.4098459884242246e-05,1.0564812265245749e-05,1.8397717666429614e-05,48.50828327082712,47.352360501619316,49.761382158754856
48,leeHom,100000000,120,0,0.01,50,1e-05,7929303,102,7929405,1.2863512457744307e-05,9.819692493473475e-06,1.6522733998214356e-05,48.90640428555499,47.819180888499574,50.07902112058127
49,leeHom,100000000,120,0,0.01,51,7.943282347242822e-06,10834708,103,10834811,9.506395635327649e-06,7.2670475140812485e-06,1.2196072157633076e-05,50.219841152817224,49.13780014810989,51.386420002531636
50,leeHom,100000000,120,0,0.01,52,6.30957344480193e-06,23518543,160,23518703,6.803096242169477e-06,5.497632469708691e-06,8.31502092712988e-06,51.67293385110654,50.8013665341673,52.59824297179473
51,leeHom,100000000,120,0,0.01,53,5.011872336272725e-06,23589150,139,23589289,5.892504856759354e-06,4.684773915242246e-06,7.306376340165954e-06,52.29700050846419,51.36297961709651,53.29311363096786
52,leeHom,100000000,120,0,0.01,54,3.981071705534969e-06,30043030,120,30043150,3.994254929992361e-06,3.1175881036737962e-06,5.033040429314184e-06,53.98564220097328,52.98169580996158,55.06181264425618
53,leeHom,100000000,120,0,0.01,55,3.162277660168379e-06,22801021,83,22801104,3.640174616106308e-06,2.6933652321758927e-06,4.801565622103432e-06,54.388777831112385,53.18617131337797,55.697047503525276
54,leeHom,100000000,120,0,0.01,56,2.5118864315095823e-06,77058990,240,77059230,3.114487388467287e-06,2.6210304863161227e-06,3.6707264982061005e-06,55.06613423380354,54.352479730947245,55.81527927560891
55,leeHom,100000000,120,0,0.01,57,1.9952623149688787e-06,176373551,352,176373903,1.995760109702851e-06,1.7324122042472467e-06,2.286459218736603e-06,56.99891662093468,56.408365402861875,57.61348765476387
56,leeHom,100000000,120,0,0.01,58,1.584893192461114e-06,264610628,450,264611078,1.7006090727614963e-06,1.501212736454427e-06,1.9182071059331562e-06,57.69395508289139,57.17104504512512,58.235577596410415
57,leeHom,100000000,120,0,0.01,59,1.2589254117941661e-06,324466689,440,324467129,1.3560695696851314e-06,1.1953385125051952e-06,1.5316466257520034e-06,58.67718029528448,58.148414215104324,59.22509087774965
58,leeHom,100000000,120,0,0.01,60,1e-06,10941383953,274,10941384227,2.504253523277718e-08,2.1317372089768583e-08,2.9209404117658266e-08,76.01321706537061,75.34477302699595,76.71266334225949
0,leeHom,100000000,120,-10,0.01,2,0.6309573444801932,528557,717521,1246078,0.5758235038256032,0.5746824009271492,0.57696402756577,2.397106121681922,2.3885126330301176,2.4057210249612124
1,leeHom,100000000,120,-10,0.01,3,0.5011872336272722,14267704,14353680,28621384,0.5015019539236817,0.5012612009029676,0.5017427064451851,2.9972737056655423,2.995189318920601,2.9993590976128512
2,leeHom,100000000,120,-10,0.01,4,0.3981071705534972,5580344,3917344,9497688,0.41245237788396505,0.4120409196422321,0.41286392383189185,3.846261882441091,3.841930642438274,3.850596521892707
3,leeHom,100000000,120,-10,0.01,5,0.31622776601683794,5029753,2165732,7195485,0.30098485369644995,0.30054445977410005,0.30142551079575786,5.214553586306076,5.208199944600867,5.220912733906351
4,leeHom,100000000,120,-10,0.01,6,0.251188643150958,2688032,850837,3538869,0.24042624917735017,0.23984131585884283,0.24101188051708378,6.190181188217554,6.179615486457166,6.200760017878791
5,leeHom,100000000,120,-10,0.01,7,0.19952623149688797,1060443,263130,1323573,0.19880278609491128,0.19790993157738412,0.19969780674296267,7.015775335344429,6.996267049072613,7.035324113467679
6,leeHom,100000000,120,-10,0.01,8,0.15848931924611134,2077906,415984,2493890,0.1668012622850246,0.1661936295230535,0.1674101666504133,7.778006671194644,7.762181712764371,7.793856274593065
7,leeHom,100000000,120,-10,0.01,9,0.12589254117941673,1578226,242711,1820937,0.1332890704071585,0.13264096476357334,0.13393909300158613,8.7520546091222,8.730926463117397,8.773223279429839
8,leeHom,100000000,120,-10,0.01,10,0.1,7470702,837864,8308566,0.10084339463633074,0.10057447436287892,0.10111277208108294,9.963525433306529,9.951939829451357,9.975122285245131
9,leeHom,100000000,120,-10,0.01,11,0.07943282347242814,3922534,324068,4246602,0.07631230805241461,0.07598080410898767,0.0766447616057585,11.174054110862365,11.155175222636906,11.192961145948246
10,leeHom,100000000,120,-10,0.01,12,0.06309573444801933,5710312,397938,6108250,0.06514762820775181,0.06489068002846721,0.06540525394111174,11.861013907731266,11.843873638166361,11.878176745842982
11,leeHom,100000000,120,-10,0.01,13,0.05011872336272722,9234862,478091,9712953,0.04922200282447573,0.049043374978588905,0.04940107235474889,13.078407189972642,13.06263623693856,13.094196509663256
12,leeHom,100000000,120,-10,0.01,14,0.039810717055349734,6227714,255164,6482878,0.03935967945100926,0.039163224541117425,0.03955681068937866,14.049484471620563,14.027787311254148,14.07121557349984
13,leeHom,100000000,120,-10,0.01,15,0.03162277660168379,5013835,159990,5173825,0.030922963184877725,0.030727264115557484,0.031119525345975285,15.09718896604259,15.069670357567645,15.12476106597228
14,leeHom,100000000,120,-10,0.01,16,0.025118864315095794,1717792,45709,1763501,0.02591946361243912,0.02561225428901026,0.02622923363413665,15.863739901690453,15.812143984423502,15.91552194971963
15,leeHom,100000000,120,-10,0.01,17,0.0199526231496888,3756787,75626,3832413,0.019733259437330997,0.019550724607592662,0.019916987616301784,17.04801174315297,17.007763466627125,17.088371417337285
16,leeHom,100000000,120,-10,0.01,18,0.015848931924611134,4009274,62944,4072218,0.015456932806642473,0.015299912365723034,0.015615086428015346,18.10876681006659,18.064556076485587,18.15311056711284
17,leeHom,100000000,120,-10,0.01,19,0.012589254117941675,6802923,90517,6893440,0.013130889657413426,0.013019472987921388,0.013242978831659369,18.81705848151483,18.780143151499374,18.854065951126756
18,leeHom,100000000,120,-10,0.01,20,0.01,15748553,164683,15913236,0.010348806490395794,0.010283574687810826,0.010414331210691352,19.85109733735891,19.82368614418322,19.87855893382392
19,leeHom,100000000,120,-10,0.01,21,0.007943282347242814,15158631,123264,15281895,0.008066015373093455,0.008007197245363584,0.00812513997355191,20.93340954601733,20.901691485992316,20.965194731641308
20,leeHom,100000000,120,-10,0.01,22,0.00630957344480193,97973209,576918,98550127,0.00585405638290045,0.005834280775709577,0.005873879707806506,22.325430990076903,22.310749517135907,22.34012674218897
21,leeHom,100000000,120,-10,0.01,23,0.005011872336272725,85481489,387278,85868767,0.00451011483604976,0.004491510800374465,0.004528773789789664,23.458124000227482,23.440193715889848,23.476075516687093
22,leeHom,100000000,120,-10,0.01,24,0.003981071705534973,7017913,28866,7046779,0.004096339618427086,0.0040346267496012,0.004158723027208322,23.876040441478384,23.810400028763702,23.941966364280173
23,leeHom,100000000,120,-10,0.01,25,0.0031622776601683794,66230817,227205,66458022,0.003418774636416353,0.0034003595119552754,0.0034372608848785013,24.661295266929145,24.63787504067802,24.68475163603562
24,leeHom,100000000,120,-10,0.01,26,0.0025118864315095794,32131707,84041,32215748,0.002608693114932486,0.00258560230336935,0.002631930941578875,25.835770080329695,25.797255102270377,25.874382740165256
25,leeHom,100000000,120,-10,0.01,27,0.001995262314968879,5913901,10351,5924252,0.0017472247973246242,0.0017033432826081274,0.0017919085333214513,27.576512152477765,27.466841623566964,27.686978178515705
26,leeHom,100000000,120,-10,0.01,28,0.001584893192461114,7857772,12468,7870240,0.0015841956534997663,0.0015479173909578314,0.0016210778366494427,28.00191182602598,27.90196131841323,28.102522204027917
